date,precipitation_cehgear,temperature_haduk,pet_hydrope,gw_groundwater_level,discharge_vol
2021-08-01,,14.27,1.71,0.939475760817916,0.53
2021-08-02,,15.05,1.92,1.3946122361491387,0.51
2021-08-03,,15.33,1.99,1.8497487114803548,0.5
2021-08-04,,16.73,2.38,2.3048851868115774,0.5
2021-08-05,,17.59,2.61,2.7600216621428,0.52
2021-08-06,,16.72,2.36,3.215158137474023,0.51
2021-08-07,,16.21,2.21,3.670294612805239,0.54
2021-08-08,,15.51,2.01,4.1254310881364615,0.52
2021-08-09,,16.46,2.27,4.580567563467684,0.51
2021-08-10,,17.29,2.5,5.035704038798901,0.49
2021-08-11,,18.79,2.91,5.490840514130124,0.48
2021-08-12,,16.81,2.35,5.945976989461346,0.48
2021-08-13,,17.14,2.43,6.4011134647925685,0.48
2021-08-14,,18.07,2.68,6.856249940123785,0.46
2021-08-15,,17.17,2.42,7.311386415455008,0.47
2021-08-16,,13.97,1.54,7.766522890786231,0.46
2021-08-17,,15.98,2.08,8.221659366117446,0.48
2021-08-18,,17.61,2.51,8.67679584144867,0.47
2021-08-19,,17.71,2.53,9.131932316779892,0.46
2021-08-20,,17.51,2.46,9.587068792111115,0.46
2021-08-21,,16.73,2.24,10.04220526744233,0.69
2021-08-22,,17.83,2.52,10.497341742773553,0.65
2021-08-23,,15.8,1.96,10.952478218104776,0.5
2021-08-24,,17.55,2.42,11.407614693435992,0.47
2021-08-25,,16.93,2.24,11.862751168767215,0.46
2021-08-26,,14.76,1.64,12.317887644098438,0.45
2021-08-27,,13.89,1.4,12.77302411942966,0.45
2021-08-28,,14.16,1.46,13.228160594760876,0.45
2021-08-29,,15.18,1.7,13.683297070092099,0.45
2021-08-30,,14.32,1.47,14.138433545423316,0.45
2021-08-31,,15.18,1.67,14.59357002075454,0.44
2021-09-01,,15.34,1.78,15.048706496085762,0.44
2021-09-02,,16.14,1.97,14.578398804910167,0.42
2021-09-03,,15.67,1.83,14.108091113734572,0.41
2021-09-04,,15.32,1.73,13.637783422558977,0.41
2021-09-05,,18.34,2.48,13.167475731383382,0.41
2021-09-06,,20.21,2.94,12.697168040207789,0.41
2021-09-07,,21.38,3.22,12.226860349032194,0.4
2021-09-08,,21.67,3.27,11.756552657856599,0.42
2021-09-09,,19.0,2.58,11.286244966681004,0.42
2021-09-10,,18.97,2.55,10.815937275505409,0.45
2021-09-11,,16.63,1.95,10.345629584329815,0.41
2021-09-12,,16.17,1.82,9.87532189315422,0.41
2021-09-13,,16.79,1.97,9.405014201978625,0.43
2021-09-14,,16.04,1.77,8.93470651080303,1.05
2021-09-15,,14.62,1.41,8.464398819627437,0.48
2021-09-16,,16.83,1.95,7.994091128451835,0.45
2021-09-17,,15.5,1.61,7.523783437276247,0.44
2021-09-18,,17.89,2.19,7.053475746100646,0.44
2021-09-19,,14.8,1.42,6.583168054925058,0.43
2021-09-20,,13.85,1.18,6.112860363749457,0.43
2021-09-21,,14.41,1.31,5.642552672573869,0.43
2021-09-22,,15.34,1.54,5.172244981398268,0.42
2021-09-23,,16.3,1.77,4.701937290222673,0.42
2021-09-24,,18.82,2.4,4.2316295990470785,0.44
2021-09-25,,15.05,1.46,3.7613219078714835,0.43
2021-09-26,,17.47,2.06,3.291014216695889,0.42
2021-09-27,,12.5,0.83,2.8207065255202943,0.47
2021-09-28,,12.33,0.79,2.3503988343446998,0.85
2021-09-29,,9.84,0.56,1.8800911431691052,0.55
2021-09-30,,13.1,0.99,1.4097834519935106,0.48
