date,observed,predicted,error,abs_error
2021-09-01,0.44000006,6.7796717,6.3396716,6.3396716
2021-09-02,0.42000008,6.7446766,6.3246765,6.3246765
2021-08-31,0.44000006,6.7517233,6.311723,6.311723
2021-09-03,0.4100001,6.713072,6.303072,6.303072
2021-08-30,0.45000005,6.723055,6.273055,6.273055
2021-09-04,0.4100001,6.679966,6.269966,6.269966
2021-08-29,0.45000005,6.6924067,6.242407,6.242407
2021-09-05,0.4100001,6.644064,6.234064,6.234064
2021-08-28,0.45000005,6.659644,6.2096443,6.2096443
2021-09-06,0.4100001,6.6048026,6.1948023,6.1948023
