source,target,distance_km
1001,81002,4.020160817678815
1001,31025,4.425206209884462
1001,42008,4.735111614312803
1001,41011,5.550340980516422
1001,67001,6.614527647534629
2001,39144,0.8577144046825843
2001,37031,1.2193264534159831
2001,40011,4.047650306041766
2001,80002,4.2606122799428725
2001,8011,5.20954518168333
2002,15013,2.9589460961632943
2002,39019,3.2307232936294623
2002,13005,5.216369618805784
2002,36009,6.28875090936189
2002,23001,6.954682163837539
3003,54048,1.1492919559450507
3003,28044,2.3656085897713512
3003,58008,4.637375335251613
3003,41005,5.697470666883683
3003,48011,5.715030358624528
4001,69023,0.6129747139972415
4001,21016,2.3366471706271787
4001,41004,3.6237799326118023
4001,43014,3.8131977394307786
4001,81003,4.046558661381297
4003,39036,1.2032825935747595
4003,47018,2.8816628879867263
4003,55021,3.190873234711777
4003,24005,4.195579101864246
4003,23007,4.644572100850626
4005,54032,1.3879113804562597
4005,57008,2.6979970348389934
4005,21022,3.884871812557012
4005,22007,4.575629792717064
4005,55025,5.787927435619766
4006,41016,1.7004969861778645
4006,64006,2.0949770881802023
4006,71008,3.5216325759511027
4006,33007,3.8115095434748683
4006,30004,4.642237930136714
5003,85001,2.3045695910516564
5003,67033,6.250906654238247
5003,81004,6.890178081878581
5003,41019,7.678485332407687
5003,18002,7.706905539838931
6007,41022,2.728036839927203
6007,71014,2.7917392428376973
6007,33039,2.8682736968427545
6007,36009,3.554081175212519
6007,31025,5.219497676980037
6008,13001,2.8317203251733742
6008,54025,3.2067641010838326
6008,84012,4.494159876995922
6008,43007,4.768295397728626
6008,35008,5.054922056768037
7001,27038,3.6178973175036355
7001,72014,5.5133655783015145
7001,28115,7.3422390317940485
7001,40020,7.8398873716399775
7001,47004,8.69139551510573
7002,40011,2.148797803424045
7002,45005,2.4355149352857604
7002,39065,3.412319006189193
7002,28067,4.108811263613845
7002,39099,4.874440275559851
7003,28040,1.3250207545544332
7003,39005,1.5697595357251377
7003,46014,3.5129880443861463
7003,97002,4.979083048112373
7003,44002,5.08114327686201
7005,46014,1.513085589119135
7005,31002,2.298839924831653
7005,39101,3.7630054477770822
7005,36009,7.604709133162162
7005,40003,7.761459463271067
7006,76007,1.4584820876514049
7006,43018,1.6180630395630449
7006,84013,2.4593698379869586
7006,92001,2.514177798008725
7006,28050,2.754292649665246
8004,28050,3.130409557869385
8004,76005,4.8106851902821495
8004,24004,4.8674930919314106
8004,28115,5.696769084314371
8004,48004,6.163706758112362
8005,40020,4.283281452344686
8005,11004,5.122105816946776
8005,43006,5.875484745959263
8005,55013,7.11394018810954
8005,76008,7.4450803219307184
8006,39052,4.940875327307905
