basin,mapped_well,records,non_nan,median,mad,minimum,maximum,flagged_anomalies
27001,SE35_4,655,586,36.49,0.3100000000000023,35.48,37.87,0
27062,SE35_4,655,586,36.49,0.3100000000000023,35.48,37.87,0
33039,SP91_59,660,502,109.35,0.14000000000000057,104.14,110.04,1
38003,TL11_9,725,625,87.56,1.4399999999999977,81.11,120.62,1
37010,TL72_54,675,549,16.28,3.1000000000000014,9.02,42.51,0
38001,TL11_9,725,625,87.56,1.4399999999999977,81.11,120.62,1
34006,TM17_1,781,690,23.555,0.6050000000000004,20.8,29.05,1
34010,TM17_1,781,690,23.555,0.6050000000000004,20.8,29.05,1
34012,TF83_1,868,823,20.51,0.9100000000000001,17.06,23.24,0
36006,TL84_6,733,675,26.3,0.4800000000000004,25.21,29.15,0
