basin,variable,total_rows,non_nan,missing,completeness_percent
27001,precipitation_cehgear,18993,17989,1004,94.71384194176802
27001,precipitation_haduk,18993,18993,0,100.0
27062,precipitation_cehgear,18993,17989,1004,94.71384194176802
27062,precipitation_haduk,18993,18993,0,100.0
33039,precipitation_cehgear,18993,17989,1004,94.71384194176802
33039,precipitation_haduk,18993,18993,0,100.0
38003,precipitation_cehgear,18993,17989,1004,94.71384194176802
38003,precipitation_haduk,18993,18993,0,100.0
37010,precipitation_cehgear,18993,17989,1004,94.71384194176802
37010,precipitation_haduk,18993,18993,0,100.0
38001,precipitation_cehgear,18993,17989,1004,94.71384194176802
38001,precipitation_haduk,18993,18993,0,100.0
34006,precipitation_cehgear,18993,17989,1004,94.71384194176802
34006,precipitation_haduk,18993,18993,0,100.0
34010,precipitation_cehgear,18993,17989,1004,94.71384194176802
34010,precipitation_haduk,18993,18993,0,100.0
34012,precipitation_cehgear,18993,17989,1004,94.71384194176802
34012,precipitation_haduk,18993,18993,0,100.0
36006,precipitation_cehgear,18993,17989,1004,94.71384194176802
36006,precipitation_haduk,18993,18993,0,100.0
